id,split,text,teks_bersih,label_asli,prediksi_svm,prediksi_nb,svm_benar,nb_benar
1,train,"bubur ayam yang lumayan rekomendasi di sekitaran bandung , tempat nya strategis mudah dicari , harga nya tidak merogoh kantong , tempat nya selalu ramai didatangi pengunjung setiap hari kerja maupun akhir pekan karena rasanya yang enak .",bubur ayam lumayan rekomendasi sekitar bandung strategis mudah cari harga rogoh kantong ramai datang unjung pekan,positif,positif,positif,ya,ya
2,train,"menu bebek relatif jarang di bandung dan bebek garang ini salah satu yang terenak , rasa bebek nya enak dan meresap ke daging nya , daging nya lembut dan tidak ulet .",menu bebek relatif jarang bandung bebek garang salah enak bebek resap daging daging lembut ulet,positif,positif,positif,ya,ya
3,train,"hampir lebih 5 kali saya ke sini . dim sum nya yahud dan harga nya terjangkau banget . tempat nya asyik dan sangat nyaman . pelayan nya ramah walaupun kita cuma berdua dan makan tidak banyak jenis nya . pokok nya rekomendasi banget , bila mencari dim sum atau shabu di bandung .",dim sum yahud harga jangkau banget asyik nyaman layan ramah dua makan jenis pokok rekomendasi banget cari dim sum shabu bandung,positif,positif,positif,ya,ya
4,train,tempat nya dekat dengan factory outlet jadi habis berbelanja kita bisa mampir makan ke tempat ini . menu nya banyak sekali mulai dari lokal dan luar negri . yang kita mau coba hanya ayam bumbu cabe hijau nya . wow keren banget deh bumbu nya . harga tidak terlalu mahal .,factory outlet habis belanja mampir makan menu lokal negri coba ayam bumbu cabe hijau wow keren banget deh bumbu harga mahal,positif,positif,positif,ya,ya
5,train,"saya tidak sengaja menemuka warung bakso dan batagor di jalan serayu ini saat melewati jalan brantas yang ada di samping jalan serayu . saat itu saya penasaran melihat ada banyak orang dan sepeda motor terparkir di pinggir jalan di sudut jalan serayu . keramaian itu membuat saya penasaran , dan saya pun berbelok menuju pusat keramaian itu untuk menghilangkan rasa penasaran .",sengaja menemuka warung bakso batagor jalan rayu lewat jalan brantas samping jalan rayu penasaran sepeda motor parkir pinggir jalan sudut jalan rayu ramai penasaran belok pusat ramai hilang penasaran,positif,positif,positif,ya,ya
6,train,makanan di rs selalu tidak enak,makan rs,negatif,negatif,negatif,ya,ya
7,train,"walau lokasi cukup sulit untuk dijangkau , dusun bambu merupakan salah satu tempat favorit untuk makan dan menikmati fasilitas yang disediakan . makanan yang dihidangkan tidak terlalu spesial tetapi suasana dan cuaca bisa mengobati kualitas makanan nya .",lokasi sulit jangkau dusun bambu salah favorit makan nikmat fasilitas sedia makan hidang spesial suasana cuaca obat kualitas makan,positif,positif,positif,ya,ya
8,train,tidak iri,iri,positif,negatif,negatif,tidak,tidak
9,train,kasihan personil ungu sekarang sepi job gara-gara ditinggal pasha,kasihan personil ungu sepi job gara gara tinggal pasha,negatif,negatif,negatif,ya,ya
10,train,"ulasan singkat : tipe mal : makan malam . buffett . lokasi : akses jalan sangat buruk . hanya terdiri dari 2 jalur sempit , dan jika memakai bus ke lokasi , pengemudi wajib memiliki skill tinggi untuk melewati jalanan menuju lokasi . harga akses per bus 50 ribu menurut saya sangat tidak masuk akal . pemandangan : tidak banyak pemandangan yang tersedia karena terhalang perbukitan sekitar .",ulas singkat tipe mal makan malam buffett lokasi akses jalan buruk jalur sempit pakai bus lokasi kemudi wajib milik skill tinggi lewat jalan lokasi harga akses bus ribu akal pandang pandang sedia halang bukit,positif,positif,positif,ya,ya
11,train,"suasana nya asik , romantis , dan ekslusif . pemandangan nya juga sangat bagus . tapi sayang , jalan untuk menuju ke sana nya masih rusak dan jauh .",suasana asik romantis ekslusif pandang bagus sayang jalan rusak,negatif,negatif,positif,ya,tidak
12,train,"kafe dan restorant the jam sibuk lokasi nya di bandung utara . pandangan nya ke kota bandung indah sekali , apa lagi di malam hari , dengan warna lampu yang kedap kedip . makanan dan minuman nya oke oke",kafe restorant the jam sibuk lokasi bandung utara pandang kota bandung indah malam warna lampu kedap kedip makan minum oke oke,positif,positif,positif,ya,ya
13,train,bangga deh punya presiden kayak pak jokowi yang orang nya bijak dan menghormati sesama,bangga deh presiden kayak jokowi bijak hormat,positif,positif,negatif,ya,tidak
14,train,"ri ku molo adalah orang pdip yang di partai nya paling juara soal korupsi , jadi wajar kalau beliau tidak alergi dengan kata maling / mantan maling , ke depan nya jangan pilih partai yang pro koruptor .",ri ku molo pdip partai juara korupsi wajar beliau alergi maling mantan maling pilih partai pro koruptor,negatif,negatif,negatif,ya,ya
15,train,"2 minggu ini internet indihome saya terganggu dan koneksi yang jelek sekali . serasa rugi bayar mahal untuk koneksi internet yang lelet , padahal 10 mbps .",minggu internet indihome ganggu koneksi jelek serasa rugi bayar mahal koneksi internet lelet mbps,negatif,negatif,negatif,ya,ya
16,train,kesal saya melihat manusia satu ini,kesal manusia,negatif,negatif,negatif,ya,ya
17,train,"heran ya , rata-rata pendukung ahok ini seperti orang tidak waras . caci maki di puji , ingkar janji kata nya prestasilah , yang santun , bekerja demi rakyat dibulan . ananda sukarlan ini sepertinya sudah keracunan pantat cina ya .",heran rata rata dukung ahok waras caci maki puji ingkar janji prestasi santun rakyat bulan ananda sukarlan racun pantat cina,negatif,negatif,negatif,ya,ya
18,train,pakai mobil ford yang kata nya irit nyata nya boros tidak untung,pakai mobil ford irit boros untung,negatif,negatif,negatif,ya,ya
